Region,Council,Care and Treatment Centre Sites
Dar es Salaam,Kinondoni,Mwenge Dispansary
Dar es Salaam,Kinondoni,Kawe Dispensary
Dar es Salaam,Kinondoni,Hananasifu Dispensary
Dar es Salaam,Kinondoni,CCBRT Hospital
Dar es Salaam,Ilala,Amana Hospital
Dar es Salaam,Ilala,Kitunda Dispensary
Dar es Salaam,Ilala,Mnazi Mmoja Health Centre
Dar es Salaam,Ilala,Buguruni Health Centre
Dar es Salaam,Ilala,Tabata A Dispensary
Dar es Salaam,Ilala,Anglican Buguruni
Dar es Salaam,Ilala,Chanika Dispensary
Dar es Salaam,Ilala,Segerea Dispensary
Dar es Salaam,Ilala,Vingunguti Dispensary
Dar es Salaam,Ilala,Ukonga Magereza Dispensary
Dar es Salaam,Ilala,Msimbazi Dispensary
Dar es Salaam,Ilala,Segerea Prison Dispensary
Dar es Salaam,Ilala,Tanzania Breweries Dispensary
Dar es Salaam,Ilala,Kinyerezi Dispensary
Dar es Salaam,Ilala,Tabata NBC Dispensary
Dar es Salaam,Ilala,Kiwalani Dispensary
Dar es Salaam,Ilala,Kivule Dispensary
Dar es Salaam,Ilala,Mongolandege Dispensary
Dar es Salaam,Ilala,Pugu Kajiungeni Dispensary
Dar es Salaam,Ilala,Majohe Dispensary
Dar es Salaam,Ilala,Mvuti Dispensary
Dar es Salaam,Ilala,Gerezani Dispensary
Dar es Salaam,Ilala,St.Camilus Dispensary
Dar es Salaam,Ilala,St.Benedictine Health Centre
Dar es Salaam,Ilala,Msamaria Mwema(Makoka)Dispensary
Dar es Salaam,Ilala,FFU Dispensary
Dar es Salaam,Ilala,St. Bernard Hospital
Dar es Salaam,Ilala,TMS (Kapessa) Hospital
Dar es Salaam,Ilala,Regency Hospital
Dar es Salaam,Ilala,Tumaini Hospital
Dar es Salaam,Ilala,Shree Hindu Mandal Hospital
Dar es Salaam,Ilala,Aga Khan Hospital
Dar es Salaam,Ilala,CCBRT
Dar es Salaam,Ilala,Muhimbili National Hospital
Dar es Salaam,Ilala,IDC Clinic
Dar es Salaam,Ilala,Khan Hospital
Dar es Salaam,Ilala,Ocean Road Cancer Institute Hospital
Dar es Salaam,Ilala,Anglican Buguruni Health Centre
Dar es Salaam,Ilala,Jaha Dispensary
Dar es Salaam,Ilala,Hindu Mandal hospital
Dar es Salaam,Ilala,Ukonga(Cardinal Rugambwa Hospital
Dar es Salaam,Ilala,Apollo Medical Centre
Dar es Salaam,Ilala,Sykes Dispensary
Dar es Salaam,Ilala,Tanzania Railways Dispensary (Gerezani)
Dar es Salaam,Ilala,Ebrahim Haji Health Centre
Dar es Salaam,Ilala,Chuo/Ukonga Dispensary
Dar es Salaam,Temeke,Temeke Hospital
Dar es Salaam,Temeke,Yombo Vituka Dispensary
Dar es Salaam,Temeke,Kigamboni Health Centre
Dar es Salaam,Temeke,Mbagala RT Hospital
Dar es Salaam,Temeke,Kisarawe 2 Dispensary
Dar es Salaam,Temeke,Tambukareli Dispensary
Dar es Salaam,Temeke,Mpande Health Centre(Mbande)
Dar es Salaam,Temeke,Chamazi Dispensary
Dar es Salaam,Temeke,Mbagala Kizuiani Dispensary
Dar es Salaam,Temeke,Navy Health Centre
Dar es Salaam,Temeke,Kingugi Dispensary
Dar es Salaam,Temeke,Kimbiji Dispensary
Dar es Salaam,Temeke,Makangarawe Dispensary
Dar es Salaam,Temeke,Twundwisongani Dispensary
Dar es Salaam,Temeke,Consolator Sisters Dispensary
Dar es Salaam,Temeke,Toa Ngoma Dispensary
Dar es Salaam,Temeke,Chekeni Mwasonga
Dar es Salaam,Temeke,Kichemchem Dispensary
Dar es Salaam,Temeke,Majimatitu Dispensary
Dar es Salaam,Temeke,Round Table Dispensary
Dar es Salaam,Temeke,Buza Dispensary
Dar es Salaam,Temeke,SDA Dispensary
Dar es Salaam,Temeke,Arafa Ugweno Dispensary
Dar es Salaam,Temeke,Sandali Dispensary
Dar es Salaam,Temeke,Bandari Health Centre
Dar es Salaam,Temeke,Keko Dispensary
Dar es Salaam,Temeke,Niko Kasorobo Dispensary
Dar es Salaam,Temeke,Gezaulole Dispensary
Dar es Salaam,Temeke,Mjimwema Dispensary
Dar es Salaam,Temeke,Kibugumo Dispensary
Dar es Salaam,Temeke,Buyuni Dispensary
Dar es Salaam,Temeke,Kingugi Dispensary
Dar es Salaam,Temeke,Kilakala Dispensary
Dar es Salaam,Temeke,Kibada Dispensary
Dar es Salaam,Temeke,Mwongozo Dispensary
Dar es Salaam,Temeke,PASADA
Dar es Salaam,Temeke,Tanzania Occupational Hospital
Dar es Salaam,Temeke,Police Barracks Hospital
Dar es Salaam,Temeke,Prison Hospital-(KEKO)
Dar es Salaam,Temeke,Mgulani JKT Hospital
Dar es Salaam,Temeke,Arafa Upendo Health centre
Dar es Salaam,Temeke,Vijibweni Hospital
Dar es Salaam,Temeke,Pasada-Area II Dispensary
Lindi,Kilwa,Kinyonga Hospital
Lindi,Kilwa,Pande Health Centre
Lindi,Kilwa,Masoko Health Centre
Lindi,Kilwa,Tingi Health Centre
Lindi,Kilwa,Nanjirinji Health Centre
Lindi,Kilwa,Njinjo Health Centre
Lindi,Kilwa,Mandawa Dispensary
Lindi,Kilwa,Likawage Dispensary
Lindi,Kilwa,Kikole Dispensary
Lindi,Kilwa,Mingumbi Dispensary
Lindi,Kilwa,Kipatimu Hospital
Lindi,Kilwa,Chumo Dispensary
Lindi,Kilwa,Songosongo Dispensary
Lindi,Kilwa,Somanga Dispensary
Lindi,Kilwa,Mavuji Dispensary
Lindi,Kilwa,Mtandi Dispensary
Lindi,Kilwa,Lihimalyao Dispensary
Lindi,Kilwa,Release to another facilities
Lindi,Kilwa,Kiwawa Dispensary
Lindi,Kilwa,Matandu Dispensary
Lindi,Kilwa,Nakiu Dispensary
Lindi,Lindi Urban,Lindi Sokoine Regional Hospital
Lindi,Lindi Urban,Lindi Town Health Centre
Lindi,Lindi Urban,Milola Dispensary
Lindi,Lindi Urban,Mingoyo Dispensary
Lindi,Lindi Urban,Mchinga Dispensary
Lindi,Lindi Urban,Brigita Dispensary
Lindi,Lindi Urban,Kineng'ene Dispensary
Lindi,Lindi Urban,Mitwero Dispensary
Lindi,Lindi Urban,Mtama Dispensary
Lindi,Lindi Urban,Kitumbikwela Dispensary
Lindi,Lindi Urban,Tulieni Dispensary
Lindi,Lindi Urban,Police Dispensary
Lindi,Lindi Urban,Prison Dispensary
Lindi,Lindi Urban,Add to another facilitie
Lindi,Lindi Urban,Nachingwea Dispensary
Lindi,Nachingwea,Nachingwea District Hospital
Lindi,Nachingwea,Kilimarondo Health Centre
Lindi,Nachingwea,Naipanga Health Centre
Lindi,Nachingwea,Marambo Health Centre
Lindi,Nachingwea,Mtua Dispenasary
Lindi,Nachingwea,Ruponda Dispensary
Lindi,Nachingwea,Majimaji Military Hospital
Lindi,Nachingwea,Nditi Dispensary
Lindi,Nachingwea,Kiegei Dispensary
Lindi,Nachingwea,Namapwia Dispensary
Lindi,Nachingwea,Kihuwe Dispensary
Lindi,Nachingwea,Mkotokuyana Dispensary
Lindi,Nachingwea,Chiola Dispensary
Lindi,Nachingwea,Mnero Hospital
Lindi,Nachingwea,Majimaji Hospital
Lindi,Nachingwea,Lionja Dispensary
Lindi,Liwale,Liwale District Hospital
Lindi,Liwale,Kibutuka Health Centre
Lindi,Liwale,Barikiwa Dispensary
Lindi,Liwale,Ngongowele Dispensary
Lindi,Liwale,Mirui Dispensary
Lindi,Liwale,Lilombe Dispensary
Lindi,Liwale,Mbaya Dispensary
Lindi,Liwale,Mihumo Dispensary
Lindi,Liwale,Makata Dispensary
Lindi,Liwale,Mpengele Dispensary
Lindi,Liwale,Kiangara Dispensary
Lindi,Liwale,Kimambi Dispensary
Lindi,Liwale,Kikulyungu Dispensary
Lindi,Ruangwa,Ruangwa District Hospital
Lindi,Ruangwa,Mandawa Health Centre
Lindi,Ruangwa,Nkowe Health Centre
Lindi,Ruangwa,Mbekenyera Dispensary
Lindi,Ruangwa,Mnacho Dispensary
Lindi,Ruangwa,Likwachu Dispensary
Lindi,Ruangwa,Namichiga Dispensary
Lindi,Ruangwa,Nambiranje Dispensary
Lindi,Ruangwa,Makanjiro Dispensary
Lindi,Ruangwa,Luchelegwa Dispensary
Lindi,Ruangwa,Mtakuja Dispensary
Lindi,Ruangwa,Chunyu Dispensary
Lindi,Ruangwa,Narungombe Dispensary
Lindi,Lindi Rural,St. Walburg's (Nyangao) Hospital
Lindi,Lindi Rural,Rutamba Health Centre
Lindi,Lindi Rural,Kitomanga Health Centre
Lindi,Lindi Rural,Add to another facilitie
Lindi,Lindi Rural,Ng'apa Dispensary
Lindi,Lindi Rural,Pangaboi Health Centre
Lindi,Lindi Rural,Namangale Dispensary
Lindi,Lindi Rural,Rondo-Chiponda Health
Lindi,Lindi Rural,Madangwa Dispensary
Lindi,Lindi Rural,Mtua Health Centre
Lindi,Lindi Rural,Mnolela Dispensary
Lindi,Lindi Rural,Mahumbika Dispensary
Lindi,Lindi Rural,Mipingo Dispensary
Lindi,Lindi Rural,Kilangala Dispensary
Lindi,Lindi Rural,Namupa Dispensary
Lindi,Lindi Rural,Mvuleni Dispensary
Lindi,Lindi Rural,Rondo Ntene
Lindi,Lindi Rural,Chiuta Dispensary
Lindi,Lindi Rural,Add to another facilitie
Lindi,Lindi Rural,Mkanga 11 Dispensary
Lindi,Lindi Rural,Mnolela Dispensary
Lindi,Lindi Rural,Nyengedi Dispensary
Lindi,Lindi Rural,Moka Dispensary
Lindi,Lindi Rural,Nyangamara Health Centre
Mtwara,Newala,Newala District Hospital
Mtwara,Newala,Makukwe Dispensary
Mtwara,Newala,Mkunya Dispensary
Mtwara,Newala,Mnyeu Dispensary
Mtwara,Newala,Tawala Dispensary
Mtwara,Newala,Kitangari Health Centre
Mtwara,Newala,Chihangu Health Centre
Mtwara,Newala,Makote Dispensary
Mtwara,Newala,Mtunguru Dispensary
Mtwara,Newala,Chiwonga Dispensary
Mtwara,Newala,Chitekete Dispensary
Mtwara,Newala,Kilidu 2 Dispensary
Mtwara,Newala,Chihanga Dispensary
Mtwara,Newala,Nanyamba Dispensary
Mtwara,Newala,Mnali Dispensary
Mtwara,Newala,Mkoma 2 Dispensary
Mtwara,Masasi DC,Masasi (Mkomaindo) District Hospital
Mtwara,Masasi DC,Chiungutwa Dispensary
Mtwara,Masasi DC,Mkuti Dispensary
Mtwara,Masasi DC,Nagaga Health Centre
Mtwara,Masasi DC,Lulindi Dispensary
Mtwara,Masasi DC,Lupaso Health Centre
Mtwara,Masasi DC,Chiwale Health Centre
Mtwara,Masasi DC,Namajani Dispensary
Mtwara,Masasi DC,Mijelejele Dispensary
Mtwara,Masasi DC,St. Benedicts (Ndanda) Hospital
Mtwara,Masasi DC,Mpindambi Dispensary
Mtwara,Masasi DC,Mtandi Dispensary
Mtwara,Masasi DC,Chingulungulu Dispensary
Mtwara,Masasi DC,Nanjota Dispensary
Mtwara,Masasi DC,Lukuledi Dispensary
Mtwara,Masasi DC,Nasindi Dispensary
Mtwara,Masasi DC,Namombwe Dispensary
Mtwara,Masasi DC,Mbuyuni Dispensary
Mtwara,Mtwara Urban,Ligula Mtwara Regional Hospital
Mtwara,Mtwara Urban,Likombe Health Centre
Mtwara,Mtwara Urban,Mikindani Health Centre
Mtwara,Mtwara Urban,Naliendele Dispensary
Mtwara,Mtwara Urban,Rwelu Dispensary
Mtwara,Mtwara Urban,Mtawanya Health Centre
Mtwara,Mtwara Urban,Ufukoni Dispensary
Mtwara,Mtwara Urban,Sabato Dispensary
Mtwara,Mtwara Urban,Police Dispensary
Mtwara,Mtwara Urban,Magereza Dispensary
Mtwara,Mtwara Urban,Umoja JWTZ Dispensary
Mtwara,Mtwara Urban,Fajma Dispensary
Mtwara,Mtwara Urban,Shangani Dispensary
Mtwara,Mtwara Urban,Bandari Dispensary
Mtwara,Tandahimba,Tandahimba District Hospital
Mtwara,Tandahimba,Luagala Health Centre
Mtwara,Tandahimba,Kitama Dispensary
Mtwara,Tandahimba,Namikupa Health Centre
Mtwara,Tandahimba,Mahuta Health Centre
Mtwara,Tandahimba,Mkonjowano Dispensary
Mtwara,Tandahimba,Mihambwe Dispensary
Mtwara,Tandahimba,Mdimba Dispensary
Mtwara,Tandahimba,Mkwiti Dispensary
Mtwara,Tandahimba,Maundo Dispensary
Mtwara,Tandahimba,Nahyanga Dispensary
Mtwara,Tandahimba,Mchichira Dispensary
Mtwara,Tandahimba,Nambahu Dispensary
Mtwara,Mtwara Rural,Mahurunga Health Centre
Mtwara,Mtwara Rural,Nanguruwe Health Centre
Mtwara,Mtwara Rural,Kitere Health Centre
Mtwara,Mtwara Rural,Nanyamba Health Centre
Mtwara,Mtwara Rural,Msimbati Dispensary
Mtwara,Mtwara Rural,Msanga Mkuu Dispensary
Mtwara,Mtwara Rural,Mpapura Dispensary
Mtwara,Mtwara Rural,Mnima Dispensary
Mtwara,Mtwara Rural,Naumbu Dispensary
Mtwara,Mtwara Rural,Kitaya Dispensary
Mtwara,Mtwara Rural,Madimba Dispensary
Mtwara,Mtwara Rural,Kiromba Disp
Mtwara,Mtwara Rural,Mbawala Disp
Mtwara,Mtwara Rural,Dihimba Dispensary
Mtwara,Mtwara Rural,Chawi Dispensary
Mtwara,Mtwara Rural,Mkunwa Dispensary
Mtwara,Mtwara Rural,Mtimbwilimbwi Dispensary
Mtwara,Mtwara Rural,Ziwani Dispensary
Mtwara,Nanyumbu,Mangaka Health Centre
Mtwara,Nanyumbu,Michiga Health Centre
Mtwara,Nanyumbu,Nanyumbu Health Centre
Mtwara,Nanyumbu,Masuguru Dispensary
Mtwara,Nanyumbu,Mikangaula Dispensary
Mtwara,Nanyumbu,Nangomba Dispensary
Mtwara,Nanyumbu,Likokona Dispensary
Mtwara,Nanyumbu,Maratani Dispensary
Mtwara,Nanyumbu,Nandete Dispensary
Mtwara,Nanyumbu,Lumesule Dispensary
Mtwara,Nanyumbu,Mkumbaru Dispensary
Mtwara,Nanyumbu,Chipuputa Dispensary
Mtwara,Nanyumbu,Mkonona Dispensary
Mtwara,Nanyumbu,Mikuva Dispensary
Mtwara,Nanyumbu,Makong'ondera Dispensary
Mtwara,Nanyumbu,Mburusa Dispensary
Mtwara,Nanyumbu,Sengenya Dispensary
Mtwara,Masasi TC,Makulani Dispensary
Ruvuma,Tunduru,Tunduru District Hospital
Ruvuma,Tunduru,Mchoteka Health Centre
Ruvuma,Tunduru,Mtina Health Centre
Ruvuma,Tunduru,Nakapanya Health Centre
Ruvuma,Tunduru,Matemanga Health Centre
Ruvuma,Tunduru,Majimaji Dispensary
Ruvuma,Tunduru,Mkasale Health Centre
Ruvuma,Tunduru,Ligoma Dispensary
Ruvuma,Tunduru,Nandembo Dispensary
Ruvuma,Tunduru,Azimio Dispensary
Ruvuma,Tunduru,Mbesa Hospital
Ruvuma,Tunduru,Muhuwesi Dispensary
Ruvuma,Tunduru,Namiungo Dispensary
Ruvuma,Tunduru,Majala Dispensary
Ruvuma,Tunduru,Nampungu Dispensary
Ruvuma,Songea Rural,Peramiho Mission Hospital
Ruvuma,Songea Rural,Madaba Health Centre
Ruvuma,Songea Rural,Mhukuru Health Centre
Ruvuma,Songea Rural,Mahenje Dispensary
Ruvuma,Songea Rural,Matimira Dispensary
Ruvuma,Songea Rural,Lilondo Dispensary
Ruvuma,Songea Rural,Mtyangimbole Dispensary
Ruvuma,Songea Rural,Mbingamhalule Dispensary
Ruvuma,Songea Rural,Chipole Dispensary
Ruvuma,Songea Rural,Mgazini Dispensary
Ruvuma,Songea Rural,Mpitimbi Dispensary
Ruvuma,Songea Rural,Chabruma Dispensary
Ruvuma,Songea Rural,Mlale JKT Health Centre
Ruvuma,Songea Rural,Chandamali Dispensary
Ruvuma,Songea Rural,Lutukira Dispensary
Ruvuma,Songea Rural,Kizuka Dispensary
Ruvuma,Songea Rural,Nambendo Dispensary
Ruvuma,Songea Rural,Muunganozomba Dispensary
Ruvuma,Songea Rural,Luhimba Dispensary
Ruvuma,Songea Rural,Wino Dispensary
Ruvuma,Songea Rural,Hanga Ngadinda Dispensary
Ruvuma,Songea Rural,Ifinga Dispensary
Ruvuma,Songea Rural,Ruhuwiko Dispensary
Ruvuma,Mbinga,Mbinga District Hospital
Ruvuma,Mbinga,Mapera Health Centre
Ruvuma,Mbinga,Lituhi Health Centre
Ruvuma,Mbinga,Mbambabay Health Centre
Ruvuma,Mbinga,Ruanda Health Centre
Ruvuma,Mbinga,Burma Dispensary
Ruvuma,Mbinga,Kihangi Mahuka Dispensary
Ruvuma,Mbinga,Kihereketi Dispensary
Ruvuma,Mbinga,Kindimba Dispensary
Ruvuma,Mbinga,Kindimba Chini Dispensary
Ruvuma,Mbinga,Kipapa Dispensary
Ruvuma,Mbinga,Amani Makolo Dispensary
Ruvuma,Mbinga,St. Annes Hospital Liuli
Ruvuma,Mbinga,Kigonsera Health Centre
Ruvuma,Mbinga,Kalembo Health Centre
Ruvuma,Mbinga,Liparamba Health Centre
Ruvuma,Mbinga,Mpepo Dispensary
Ruvuma,Mbinga,Mpapa Dispensary
Ruvuma,Mbinga,Lundumato Health Centre
Ruvuma,Mbinga,Mkili Dispensary
Ruvuma,Mbinga,Litembo Diocesan Hospital
Ruvuma,Songea Urban,Songea Regional Hospital
Ruvuma,Songea Urban,St. Camilus Health Centre
Ruvuma,Songea Urban,Mji Mwema Health Centre
Ruvuma,Songea Urban,Matarawe Dispensary
Ruvuma,Songea Urban,Bomba mbili Dispensary
Ruvuma,Songea Urban,Ndilima Litembo Dispensary
Ruvuma,Songea Urban,FFU Dispensary
Ruvuma,Songea Urban,Liwumbu Dispensary
Ruvuma,Songea Urban,Subira Dispensary
Ruvuma,Songea Urban,Chandarua Dispensary
Ruvuma,Songea Urban,Chemichemi Dispensary
Ruvuma,Songea Urban,Magereza Dispensary
Ruvuma,Namtumbo,Namtumbo District Hospital
Ruvuma,Namtumbo,Mkongo Health Centre
Ruvuma,Namtumbo,Lusewa Health Centre
Ruvuma,Namtumbo,Mputa Health Centre
Ruvuma,Namtumbo,Msindo Dispensary
Ruvuma,Namtumbo,Ligera Dispensary
Ruvuma,Namtumbo,Mchomoro Dispensary
Ruvuma,Namtumbo,Hanga Dispensary
Ruvuma,Namtumbo,Namabengo Health Centre
Ruvuma,Namtumbo,Mgombasi Dispensary
Iringa,Iringa Urban,Iringa Regional Hospital
Iringa,Iringa Urban,Ipogoro Health Centre
Iringa,Iringa Urban,Ngome Health Centre
Iringa,Iringa Urban,Igumbilo Dispensary
Iringa,Iringa Urban,Itamba Dispensry
Iringa,Iringa Urban,Dream Saint Egidio
Iringa,Iringa Urban,Polisi Dispensary
Iringa,Iringa Urban,Mkwawa Health Centre
Iringa,Iringa Urban,Iringa Prison Dispensary
Iringa,Iringa Urban,Ipogoro Dispensary
Iringa,Iringa Urban,Iringa Medical Consultation Hospital
Iringa,Iringa Urban,Allamano Dispensary
Iringa,Iringa Urban,Frelimo Hospital
Iringa,Makete,Makete Hospital
Iringa,Makete,Ipelele Health Centre
Iringa,Makete,Matamba Health Centre
Iringa,Makete,Lupila Health Centre
Iringa,Makete,Ikuwo Dispensary
Iringa,Makete,Ujuni Dispensary
Iringa,Makete,Mang'oto Dispensary
Iringa,Makete,Lupalilo Dispensary
Iringa,Makete,Mfumbi Dispensary
Iringa,Makete,Iniho Dispensary
Iringa,Makete,Kisinga Dispensary
Iringa,Makete,Maliwa Dispensary
Iringa,Makete,Ilungu Dispensary
Iringa,Makete,Bulongwa Lutheran Hospital
Iringa,Makete,Ikonda Mission Hospital
Iringa,Njombe,Ibumila Dispensary
Iringa,Njombe,Igongolo Dispensary
Iringa,Njombe,Ikuna Dispensary
Iringa,Njombe,Imalilo Dispensary
Iringa,Njombe,Isoliwaya Dispensary
Iringa,Njombe,Kidegembye Dispensary
Iringa,Njombe,Lwanzali Dispensary
Iringa,Njombe,Madeke Dispensary
Iringa,Njombe,Malangali Dispensary
Iringa,Njombe,Mfriga Dispensary
Iringa,Njombe,Msima sayuni Dispensary
Iringa,Njombe,Ninga Dispensary
Iringa,Njombe,Nyombo Dispensary
Iringa,Njombe,Saja Dispensary
Iringa,Njombe,Uhambule Dispensary
Iringa,Njombe,Ukalawa Dispensary
Iringa,Njombe,Matembwe Dispensary
Iringa,Njombe,Njombe District Hospital
Iringa,Njombe,Makambako Health Centre
Iringa,Njombe,Kipengere Dispensary
Iringa,Njombe,Luponde Dispensary
Iringa,Njombe,Lupembe Health Centre
Iringa,Njombe,Njombe town Health Centre
Iringa,Njombe,Iwungilo Dispensary
Iringa,Njombe,Makowo Dispensary
Iringa,Njombe,Lwangu Dispensary
Iringa,Njombe,Kidugala Health Centre
Iringa,Njombe,514KJ Dispensary
Iringa,Njombe,Wanging'ombe Health Centre
Iringa,Njombe,Makoga Dispensary
Iringa,Njombe,Mtwango Dispensary
Iringa,Njombe,Ilembura Mission Hospital
Iringa,Njombe,Idundilanga Dispensary
Iringa,Njombe,Tanzania Wattle Company(TANWAT) Hospital
Iringa,Ludewa,Ludewa District Hospital
Iringa,Ludewa,Mlangali Health Centre
Iringa,Ludewa,Manda Health Centre
Iringa,Ludewa,Madope Dispensary
Iringa,Ludewa,Madunda Dispensary
Iringa,Ludewa,Madilu Dispensary
Iringa,Ludewa,Ludende Dispensary
Iringa,Ludewa,Mavanga Dispensary
Iringa,Ludewa,Luana Dispensary
Iringa,Ludewa,Luilo Dispensary
Iringa,Ludewa,Makonde Health Centre
Iringa,Ludewa,Mapogoro Dispensary
Iringa,Ludewa,Mundindi Dispensary
Iringa,Ludewa,Mavanga Dispensary06
Iringa,Ludewa,Lugarawa Mission Hospital
Iringa,Ludewa,St. Lukes (Milo) Hospital
Iringa,Mufindi,Mufindi Lugoda Hospital
Iringa,Mufindi,Igomaa Dispensary
Iringa,Mufindi,Nyololo Dispensary
Iringa,Mufindi,Utengule Dispensary
Iringa,Mufindi,Mafinga Mufindi District Hospital
Iringa,Mufindi,Usokami Health Centre
Iringa,Mufindi,Malangali Health Centre
Iringa,Mufindi,Mgololo Health Centre
Iringa,Mufindi,Kasanga Health Centre
Iringa,Mufindi,Mafinga JKT Dispensary
Iringa,Mufindi,Ifwagi Health Centre
Iringa,Mufindi,Igowole Dispensary
Iringa,Mufindi,Mdabulo Dispensary
Iringa,Mufindi,Nyololo Health Centre
Iringa,Mufindi,Sadan Health Centre
Iringa,Mufindi,Mufindi Tea Company
Iringa,Mufindi,Ihongole Dispensary
Iringa,Mufindi,Iramba Dispensary
Iringa,Iringa Rural,Ipamba Tosamaganga
Iringa,Iringa Rural,Kiponzero Health Centre
Iringa,Iringa Rural,Isman Health Centre
Iringa,Iringa Rural,Idodi Health Centre
Iringa,Iringa Rural,Migoli Health Centre
Iringa,Iringa Rural,Kimande Health Centre
Iringa,Iringa Rural,Mgama Dispensary
Iringa,Iringa Rural,Nzihi Dispensary
Iringa,Iringa Rural,Mkulula Dispensary
Iringa,Iringa Rural,Mlowa Dispensary
Iringa,Iringa Rural,Izazi Dispensary
Iringa,Iringa Rural,Ifunda Dispensary
Iringa,Iringa Rural,Kisinga Dispensary
Iringa,Iringa Rural,Mahuninga Dispensary
Iringa,Iringa Rural,Wasa Dispensary
Iringa,Iringa Rural,Magulilwa Dispensary
Iringa,Iringa Rural,Ilambilole Dispensary
Iringa,Iringa Rural,Kibena Dispensary
Iringa,Iringa Rural,"St, Lukes Disensary"
Iringa,Iringa Rural,Migoli Dispensary
Iringa,Iringa Rural,Ifunda Dispensary
Iringa,Iringa Rural,Mgongo Disp
Iringa,Kilolo,Ilula Lutheran Hospital
Iringa,Kilolo,Kidabaga Health Centre
Iringa,Kilolo,Mtandika Health Centre
Iringa,Kilolo,Lyasa Image Dispensary
Iringa,Kilolo,Boma la Ngombe dispensary
Iringa,Kilolo,Pormelin Dispensary
Iringa,Kilolo,Kilolo Dispensary
Mbeya,Chunya,Mwambani Hospital
Mbeya,Chunya,Chunya District Hospital
Mbeya,Chunya,Mbuyuni Health Centre
Mbeya,Chunya,Mtanila Health Centre
Mbeya,Chunya,Makongolosi Dispensary
Mbeya,Chunya,Bitimanyanga Dispensary
Mbeya,Chunya,Chalangwa Dispensary
Mbeya,Chunya,Galula Dispensary
Mbeya,Chunya,Gua Dispensary
Mbeya,Chunya,Ifuko Dispensary
Mbeya,Chunya,Ifumbo Dispensary
Mbeya,Chunya,Ifwenkenye Dispensary
Mbeya,Chunya,Kambikatoto Dispensary
Mbeya,Chunya,Kanga Dispensary
Mbeya,Chunya,Kapalala Dispensary
Mbeya,Chunya,Lualaje Dispensary
Mbeya,Chunya,Lupatingatinga Dispensary
Mbeya,Chunya,Magamba Dispensary
Mbeya,Chunya,Mamba Dispensary
Mbeya,Chunya,Mapogoro Dispensary
Mbeya,Chunya,Matundasi Dispensary
Mbeya,Chunya,Mbugani Dispensary
Mbeya,Chunya,Mpona Dispensary
Mbeya,Chunya,Namkukwe Dispensary
Mbeya,Chunya,Nkungungu Dispensary
Mbeya,Chunya,Sangambi Dispensary
Mbeya,Chunya,Saza Dispensary
Mbeya,Chunya,Soweto Dispensary
Mbeya,Chunya,St. Vicent Dispensary
Mbeya,Chunya,Tete Dispensary
Mbeya,Chunya,Totowe Dispensary
Mbeya,Chunya,Udinde Dispensary
Mbeya,Chunya,Upendo Dispensary
Mbeya,Mbeya Rural,Mbeya JWTZ
Mbeya,Mbeya Rural,Mbalizi Mission Hospital
Mbeya,Mbeya Rural,Ilembo Health Centre
Mbeya,Mbeya Rural,Inyala Health Centre
Mbeya,Mbeya Rural,Igoma Dispensary
Mbeya,Mbeya Rural,Idiga Dispensary
Mbeya,Mbeya Rural,Idunda Dispensary
Mbeya,Mbeya Rural,Ifupa Dispensary
Mbeya,Mbeya Rural,Ikhoho Dispensary
Mbeya,Mbeya Rural,Ikukwa Dispensary
Mbeya,Mbeya Rural,Ileya Dispensary
Mbeya,Mbeya Rural,Irambo Dispensary
Mbeya,Mbeya Rural,Isangati Dispensary
Mbeya,Mbeya Rural,Isonso Dispensary
Mbeya,Mbeya Rural,Isuto Dispensary
Mbeya,Mbeya Rural,Itimba Dispensary
Mbeya,Mbeya Rural,Iwalanje Dispensary
Mbeya,Mbeya Rural,Iwiji Dispensary
Mbeya,Mbeya Rural,Iwindi Dispesnsary
Mbeya,Mbeya Rural,Iwowo Dispesnsary
Mbeya,Mbeya Rural,Izumbwe Dispensary
Mbeya,Mbeya Rural,Izyira Dispensary
Mbeya,Mbeya Rural,Kawetire Dispensary
Mbeya,Mbeya Rural,Maganjo Dispensary
Mbeya,Mbeya Rural,Malowe Dispensary
Mbeya,Mbeya Rural,Mbonile Dispensary
Mbeya,Mbeya Rural,Mjele Dispensary
Mbeya,Mbeya Rural,Mlowo Dispensary
Mbeya,Mbeya Rural,Mshewe Dispensary
Mbeya,Mbeya Rural,Muvwa Dispensary
Mbeya,Mbeya Rural,Mwabowo Dispensary
Mbeya,Mbeya Rural,Ngole Dispensary
Mbeya,Mbeya Rural,Njelenje Dispesnsary
Mbeya,Mbeya Rural,Nsambya Dispensary
Mbeya,Mbeya Rural,Nsenga Dispensary
Mbeya,Mbeya Rural,Nsongwi Juu Dispensary
Mbeya,Mbeya Rural,Nyalwela Dispensary
Mbeya,Mbeya Rural,Pauline Dispensary
Mbeya,Mbeya Rural,Ruanda Dispensary
Mbeya,Mbeya Rural,Santilya Dispensary
Mbeya,Mbeya Rural,Shinzingo Dispensary
Mbeya,Mbeya Rural,Shizuvi Dispensary
Mbeya,Mbeya Rural,Simambwe Dispensary
Mbeya,Mbeya Rural,St. Petter and Paul Dispensary
Mbeya,Mbeya Rural,Swaya Dispensary
Mbeya,Mbeya Rural,Ulenje Dispensary
Mbeya,Mbeya Rural,Utengule Dispensary
